15822 0 0 0 6 2 4 6 3 3 0 0
15623 0 0 0 8 2 2 7 3 4 0 0
15427 0 0 0 8 2 5 3 4 4 0 0
15234 0 0 0 9 2 3 4 4 3 0 0
15042 0 0 0 9 2 3 4 4 3 0 0
14854 0 0 0 10 3 3 2 5 3 0 0
14667 0 0 0 8 3 4 3 7 2 0 0
14483 0 0 0 7 2 3 5 7 2 0 0
14301 0 0 0 7 3 3 4 6 2 0 0
14122 0 0 0 9 3 2 4 6 2 0 0
13945 0 0 0 9 1 5 3 5 2 0 0
13770 0 0 0 9 1 4 3 6 2 0 0
13597 0 0 0 6 3 3 6 6 2 0 0
13426 0 0 0 9 4 5 2 6 2 0 0
13258 0 0 0 8 4 5 1 7 2 0 0
13091 0 0 0 8 4 6 1 7 2 0 0
12927 0 0 0 8 4 5 2 7 2 0 0
12765 0 0 0 9 2 5 2 8 2 0 0
12605 0 0 0 9 3 3 2 9 2 0 0
12446 0 0 0 10 3 0 3 8 2 0 0
12290 0 0 0 9 3 0 3 9 2 0 0
12136 0 0 0 9 2 0 3 8 2 0 0
11984 0 0 0 10 2 1 4 6 2 0 0
11833 0 0 0 7 4 3 5 4 2 0 0
11685 0 0 0 8 2 3 6 4 2 0 0
11538 0 0 0 8 2 3 8 3 2 0 0
11393 0 0 0 8 1 3 7 4 2 0 0
11250 0 0 0 8 2 4 6 4 2 0 0
11109 0 0 0 8 2 5 6 4 3 0 0
10970 0 0 0 9 2 4 5 6 3 0 0
10832 0 0 0 8 2 4 6 5 3 0 0
10696 0 0 0 7 2 4 7 4 3 0 0
10562 0 0 0 8 2 4 6 5 3 1 0
10429 0 0 0 8 2 5 5 4 3 1 0
10299 0 0 0 7 2 5 4 5 3 1 0
10169 0 0 0 7 3 4 4 5 3 1 0
10042 0 0 0 7 4 4 4 6 3 1 0
9916 0 0 0 7 5 4 4 7 2 0 0
9791 0 0 0 8 3 3 7 5 2 0 0
9668 0 0 0 9 2 3 5 6 2 0 0
9547 0 0 0 8 3 4 4 7 1 0 0
9427 0 0 0 8 3 4 5 8 1 0 0
9309 0 0 0 10 3 3 4 8 1 0 0
9192 0 0 0 9 2 6 3 8 1 0 0
9077 0 0 0 9 2 4 3 9 1 0 0
8963 0 0 0 9 3 4 3 8 1 0 0
8850 0 0 0 9 3 5 1 7 2 0 0
8739 0 0 0 9 3 5 2 5 2 0 0
8630 0 0 0 9 4 3 1 6 2 0 0
8521 0 0 0 9 4 4 2 6 2 0 0
8414 0 0 0 9 2 5 2 7 1 1 0
8309 0 0 0 8 3 5 2 6 1 1 0
8204 0 0 0 8 4 5 3 6 1 1 0
8102 0 0 0 9 4 4 1 7 1 1 0
8000 0 0 0 8 4 5 3 6 1 1 0
7899 0 0 0 8 4 6 2 7 1 1 0
7800 0 0 0 8 4 4 2 9 1 1 0
7702 0 0 0 9 3 3 3 8 1 1 0
7606 0 0 0 9 3 3 4 8 1 1 0
7510 0 0 0 9 4 3 3 8 1 1 0
7416 0 0 0 10 4 1 3 9 1 1 0
